target,horizon,model,rmse
C6H6(GT),24,RF,7.695068547352613
C6H6(GT),24,Linear,6.495332907710918
C6H6(GT),24,XGBoost,7.524963630581854
C6H6(GT),24,AttnLSTM,6.503108903707203
C6H6(GT),24,TCN,7.535099698639326
C6H6(GT),24,Transformer,7.8256494948148125
C6H6(GT),24,TFT,8.579985399428896
C6H6(GT),24,Informer,8.329949139422757
C6H6(GT),24,Autoformer,8.36658254332441
C6H6(GT),24,BlendMean,6.784084945277733
NOx(GT),1,LightGBM,96.6666530996276
NOx(GT),1,RF,101.72254204191894
NOx(GT),1,Linear,97.39022223916163
NOx(GT),1,XGBoost,100.23025159292288
NOx(GT),1,AttnLSTM,363.2988531016922
NOx(GT),1,TCN,218.62453207387546
NOx(GT),1,Transformer,314.60028492600287
NOx(GT),1,TFT,313.34458696394717
NOx(GT),1,Informer,314.63005734351566
NOx(GT),1,Autoformer,315.16949263886954
NOx(GT),1,BlendMean,94.65410691124433
NOx(GT),6,LightGBM,178.72394475317316
NOx(GT),6,RF,192.8278133068427
NOx(GT),6,Linear,191.5390349723238
NOx(GT),6,XGBoost,176.6006677693189
NOx(GT),6,AttnLSTM,363.3541544326457
NOx(GT),6,TCN,232.33804455514468
NOx(GT),6,Transformer,314.69566627133224
NOx(GT),6,TFT,312.95867101648383
NOx(GT),6,Informer,314.6681235419697
NOx(GT),6,Autoformer,315.0672897209595
NOx(GT),6,BlendMean,175.0297732586788
NOx(GT),12,LightGBM,211.85580209414525
NOx(GT),12,RF,248.12427736250774
NOx(GT),12,Linear,203.82242111696235
NOx(GT),12,XGBoost,217.85273437443487
NOx(GT),12,AttnLSTM,363.75500709216277
NOx(GT),12,TCN,235.61041872022244
NOx(GT),12,Transformer,314.9691654683291
NOx(GT),12,TFT,313.30754875392387
NOx(GT),12,Informer,314.6995327081951
NOx(GT),12,Autoformer,315.44172266273455
NOx(GT),12,BlendMean,207.2612320158184
NOx(GT),24,LightGBM,216.23468968171454
NOx(GT),24,RF,241.60886141958682
NOx(GT),24,Linear,213.5481374742628
NOx(GT),24,XGBoost,216.05396610478851
NOx(GT),24,AttnLSTM,361.8870140507833
NOx(GT),24,TCN,248.10820439969427
NOx(GT),24,Transformer,314.17610908027893
NOx(GT),24,TFT,313.1985825818898
NOx(GT),24,Informer,314.09942902532987
NOx(GT),24,Autoformer,314.3715983457378
NOx(GT),24,BlendMean,211.4410160892086
NO2(GT),1,LightGBM,25.63845678965222
NO2(GT),1,RF,25.597294058002944
NO2(GT),1,Linear,24.05063422712245
NO2(GT),1,XGBoost,27.428900637597557
NO2(GT),1,AttnLSTM,118.84682643049642
NO2(GT),1,TCN,51.30560638144447
NO2(GT),1,Transformer,83.24823758860303
NO2(GT),1,TFT,82.89221790727255
NO2(GT),1,Informer,83.36836906074242
NO2(GT),1,Autoformer,83.62577629547812
NO2(GT),1,BlendMean,24.497341976150196
NO2(GT),6,LightGBM,40.92324418004693
NO2(GT),6,RF,42.19719722802344
NO2(GT),6,Linear,46.524486777598305
NO2(GT),6,XGBoost,41.93980858511081
NO2(GT),6,AttnLSTM,119.25279145042782
NO2(GT),6,TCN,53.90279077871801
NO2(GT),6,Transformer,83.34378664662198
NO2(GT),6,TFT,82.69186239805762
NO2(GT),6,Informer,83.3414198156798
NO2(GT),6,Autoformer,83.89081655149946
NO2(GT),6,BlendMean,41.12076985298654
NO2(GT),12,LightGBM,46.81824847254126
NO2(GT),12,RF,44.86353908852623
NO2(GT),12,Linear,48.57434667563377
NO2(GT),12,XGBoost,46.56224606829344
NO2(GT),12,AttnLSTM,119.14448193641016
NO2(GT),12,TCN,57.86607559353967
NO2(GT),12,Transformer,83.69449984218545
NO2(GT),12,TFT,82.90167713217507
NO2(GT),12,Informer,83.7094458185789
NO2(GT),12,Autoformer,83.55618923922498
NO2(GT),12,BlendMean,44.1856756150526
NO2(GT),24,LightGBM,45.33927906989049
NO2(GT),24,RF,44.25339979085866
NO2(GT),24,Linear,52.50954888468211
NO2(GT),24,XGBoost,46.172716405463525
NO2(GT),24,AttnLSTM,119.1927726778206
NO2(GT),24,TCN,64.16607571994552
NO2(GT),24,Transformer,83.77484170434455
NO2(GT),24,TFT,82.74451508806403
NO2(GT),24,Informer,83.77536917625326
NO2(GT),24,Autoformer,83.58979162386409
NO2(GT),24,BlendMean,45.17617886667688
