target,horizon,model,rmse
C6H6(GT),24,XGBoost,6.446475703268213
C6H6(GT),24,AttnLSTM,7.290445252065547
C6H6(GT),24,TCN,7.392130288797168
C6H6(GT),24,Transformer,7.160294680737739
C6H6(GT),24,TFT,6.919572398396957
C6H6(GT),24,Informer,6.632392524978043
C6H6(GT),24,Autoformer,6.529077473966789
C6H6(GT),24,BlendMean,6.18250390935233
NOx(GT),1,LightGBM,157.047492461434
NOx(GT),1,RF,154.3130011451989
NOx(GT),1,Linear,104.14879866106779
NOx(GT),1,XGBoost,157.75707092667093
NOx(GT),1,AttnLSTM,369.7230010459639
NOx(GT),1,TCN,227.34299113977187
NOx(GT),1,Transformer,341.52516288937164
NOx(GT),1,TFT,340.1429422982722
NOx(GT),1,Informer,341.22171122785375
NOx(GT),1,Autoformer,341.26712619443913
NOx(GT),1,BlendMean,136.47983565382094
NOx(GT),6,LightGBM,258.61247823365375
NOx(GT),6,RF,272.55391035240444
NOx(GT),6,Linear,241.5337941760461
NOx(GT),6,XGBoost,252.60339625973094
NOx(GT),6,AttnLSTM,370.020408591683
NOx(GT),6,TCN,231.99995318513064
NOx(GT),6,Transformer,341.9961524371793
NOx(GT),6,TFT,339.8705298042162
NOx(GT),6,Informer,341.4142838687628
NOx(GT),6,Autoformer,342.04449595537267
NOx(GT),6,BlendMean,253.52474526050665
NOx(GT),12,LightGBM,266.92409261033845
NOx(GT),12,RF,262.3240600284663
NOx(GT),12,Linear,264.67140201616166
NOx(GT),12,XGBoost,258.58544685843566
NOx(GT),12,AttnLSTM,370.43498212533177
NOx(GT),12,TCN,237.26950942144595
NOx(GT),12,Transformer,343.17885882546864
NOx(GT),12,TFT,340.89275320088393
NOx(GT),12,Informer,342.73254958868796
NOx(GT),12,Autoformer,342.8463683152313
NOx(GT),12,BlendMean,260.8992306212967
NOx(GT),24,LightGBM,254.92933574859074
NOx(GT),24,RF,284.17233580749945
NOx(GT),24,Linear,282.7709923265263
NOx(GT),24,XGBoost,252.85392821815492
NOx(GT),24,AttnLSTM,369.90566254627106
NOx(GT),24,TCN,256.26297213566204
NOx(GT),24,Transformer,342.5852434706771
NOx(GT),24,TFT,341.6704412089745
NOx(GT),24,Informer,342.23921885426694
NOx(GT),24,Autoformer,342.8026774707589
NOx(GT),24,BlendMean,265.3916943061047
NO2(GT),1,LightGBM,36.74844131601152
NO2(GT),1,RF,39.141769608589144
NO2(GT),1,Linear,24.71660632866432
NO2(GT),1,XGBoost,39.898007193938575
NO2(GT),1,AttnLSTM,126.05130141815079
NO2(GT),1,TCN,51.976414144344616
NO2(GT),1,Transformer,101.1729298629849
NO2(GT),1,TFT,99.7294363778209
NO2(GT),1,Informer,100.39658341218458
NO2(GT),1,Autoformer,100.76659812657545
NO2(GT),1,BlendMean,33.33388390256096
NO2(GT),6,LightGBM,52.49440428843454
NO2(GT),6,RF,52.317759471154346
NO2(GT),6,Linear,57.96824298333798
NO2(GT),6,XGBoost,53.20418805153165
NO2(GT),6,AttnLSTM,125.2026703240192
NO2(GT),6,TCN,54.81023928661588
NO2(GT),6,Transformer,101.00844485589192
NO2(GT),6,TFT,99.68299954334798
NO2(GT),6,Informer,100.78122372351588
NO2(GT),6,Autoformer,100.82786650336037
NO2(GT),6,BlendMean,53.05353484526433
NO2(GT),12,LightGBM,55.223233526702245
NO2(GT),12,RF,57.10159769351836
NO2(GT),12,Linear,62.515644348070936
NO2(GT),12,XGBoost,58.41541163987274
NO2(GT),12,AttnLSTM,126.58487517315059
NO2(GT),12,TCN,55.524189558039204
NO2(GT),12,Transformer,102.06997192037811
NO2(GT),12,TFT,100.4233798747035
NO2(GT),12,Informer,101.90772064637184
NO2(GT),12,Autoformer,102.35039766741075
NO2(GT),12,BlendMean,57.50293314130613
NO2(GT),24,LightGBM,58.23714064803133
NO2(GT),24,RF,58.020103140435076
NO2(GT),24,Linear,72.03141709771108
NO2(GT),24,XGBoost,60.595995993109895
NO2(GT),24,AttnLSTM,127.03503969751246
NO2(GT),24,TCN,62.591905053955976
NO2(GT),24,Transformer,102.46582907361434
NO2(GT),24,TFT,101.01813146619652
NO2(GT),24,Informer,102.32642797623551
NO2(GT),24,Autoformer,102.79832259999277
NO2(GT),24,BlendMean,61.06993666897034
