target,horizon,model,rmse
C6H6(GT),24,RF,7.695068547352613
C6H6(GT),24,Linear,6.495332907710918
C6H6(GT),24,XGBoost,7.524963630581854
C6H6(GT),24,AttnLSTM,7.74823893271482
C6H6(GT),24,TCN,7.089059639974826
C6H6(GT),24,Transformer,8.987455275841839
C6H6(GT),24,TFT,9.162895810813867
C6H6(GT),24,Informer,8.0838407519734
C6H6(GT),24,Autoformer,9.297883247093285
C6H6(GT),24,BlendMean,6.784084945277733
NOx(GT),1,LightGBM,96.6666530996276
NOx(GT),1,RF,101.72254204191894
NOx(GT),1,Linear,97.39022223916163
NOx(GT),1,XGBoost,100.23025159292288
NOx(GT),1,AttnLSTM,363.1526918515851
NOx(GT),1,TCN,221.787392953247
NOx(GT),1,Transformer,314.55496380185923
NOx(GT),1,TFT,313.1134445036183
NOx(GT),1,Informer,314.74953232225624
NOx(GT),1,Autoformer,314.97451455943707
NOx(GT),1,BlendMean,94.65410691124433
NOx(GT),6,LightGBM,178.72394475317316
NOx(GT),6,RF,192.8278133068427
NOx(GT),6,Linear,191.5390349723238
NOx(GT),6,XGBoost,176.6006677693189
NOx(GT),6,AttnLSTM,363.45596405208244
NOx(GT),6,TCN,230.41543279960996
NOx(GT),6,Transformer,314.5206691470863
NOx(GT),6,TFT,313.228683299947
NOx(GT),6,Informer,314.7286792496664
NOx(GT),6,Autoformer,314.81552589062
NOx(GT),6,BlendMean,175.0297732586788
NOx(GT),12,LightGBM,211.85580209414525
NOx(GT),12,RF,248.12427736250774
NOx(GT),12,Linear,203.82242111696235
NOx(GT),12,XGBoost,217.85273437443487
NOx(GT),12,AttnLSTM,362.5321749358942
NOx(GT),12,TCN,235.577847139934
NOx(GT),12,Transformer,314.68428013432964
NOx(GT),12,TFT,312.9987966778229
NOx(GT),12,Informer,314.62187795452746
NOx(GT),12,Autoformer,315.19518321807266
NOx(GT),12,BlendMean,207.2612320158184
NOx(GT),24,LightGBM,216.23468968171454
NOx(GT),24,RF,241.60886141958682
NOx(GT),24,Linear,213.5481374742628
NOx(GT),24,XGBoost,216.05396610478851
NOx(GT),24,AttnLSTM,362.298300070253
NOx(GT),24,TCN,249.14404195978642
NOx(GT),24,Transformer,314.4854299675863
NOx(GT),24,TFT,314.3276906441759
NOx(GT),24,Informer,314.62898471603603
NOx(GT),24,Autoformer,315.28819203507106
NOx(GT),24,BlendMean,211.4410160892086
NO2(GT),1,LightGBM,25.63845678965222
NO2(GT),1,RF,25.597294058002944
NO2(GT),1,Linear,24.05063422712245
NO2(GT),1,XGBoost,27.428900637597557
NO2(GT),1,AttnLSTM,118.87465468506709
NO2(GT),1,TCN,52.54725293037617
NO2(GT),1,Transformer,83.77983550093238
NO2(GT),1,TFT,82.78707450502006
NO2(GT),1,Informer,83.61351491231801
NO2(GT),1,Autoformer,83.91300710618873
NO2(GT),1,BlendMean,24.497341976150196
NO2(GT),6,LightGBM,40.92324418004693
NO2(GT),6,RF,42.19719722802344
NO2(GT),6,Linear,46.524486777598305
NO2(GT),6,XGBoost,41.93980858511081
NO2(GT),6,AttnLSTM,118.75193569096493
NO2(GT),6,TCN,55.31209460549115
NO2(GT),6,Transformer,83.67498097263515
NO2(GT),6,TFT,82.78406593678649
NO2(GT),6,Informer,83.83686806661368
NO2(GT),6,Autoformer,83.63642315223925
NO2(GT),6,BlendMean,41.12076985298654
NO2(GT),12,LightGBM,46.81824847254126
NO2(GT),12,RF,44.86353908852623
NO2(GT),12,Linear,48.57434667563377
NO2(GT),12,XGBoost,46.56224606829344
NO2(GT),12,AttnLSTM,118.8160026662763
NO2(GT),12,TCN,57.06503935003002
NO2(GT),12,Transformer,83.78993479036527
NO2(GT),12,TFT,83.41406322655175
NO2(GT),12,Informer,83.72219342797969
NO2(GT),12,Autoformer,83.79270114726813
NO2(GT),12,BlendMean,44.1856756150526
NO2(GT),24,LightGBM,45.33927906989049
NO2(GT),24,RF,44.25339979085866
NO2(GT),24,Linear,52.50954888468211
NO2(GT),24,XGBoost,46.172716405463525
NO2(GT),24,AttnLSTM,119.24520043540655
NO2(GT),24,TCN,65.28284245288673
NO2(GT),24,Transformer,83.94822750143142
NO2(GT),24,TFT,83.19053544440466
NO2(GT),24,Informer,83.58208999002638
NO2(GT),24,Autoformer,83.82827526542961
NO2(GT),24,BlendMean,45.17617886667688
